# Odd Oxygen; 3 reactions
CH3COCH3 + OH → RO2 + H2O                                                               ; 3.82009E-11*exp ( -2000.0/t )
CH3COOOH + OH → 0*CH3CO3 + 0*CH2O + 0*CO2 + H2O                                         ; 1.00002E-12
CH3O2 + HO2 → CH3OOH + O2                                                               ; 4.1001E-13*exp ( 750.0/t )
CH3OH + OH → HO2 + CH2O                                                                 ; 2.90007E-12*exp ( -345.0/t )
CH4 + OH → CH3O2 + H2O                                                                  ; 2.45006E-12*exp ( -1775.0/t )
CHBR3 + OH → 3*BR                                                                       ; 9.00021E-13*exp ( -360.0/t )
CL + H2 → HCL + H                                                                       ; 3.05007E-11*exp ( -2270.0/t )
CL + H2O2 → HCL + HO2                                                                   ; 1.10003E-11*exp ( -980.0/t )
CL + HO2 → HCL + O2                                                                     ; 1.40003E-11*exp ( 270.0/t )
CL + HO2 → OH + CLO                                                                     ; 3.60008E-11*exp ( -375.0/t )
CLO + HO2 → O2 + HOCL                                                                   ; 2.60006E-12*exp ( 290.0/t )
CLONO2 + OH → HOCL + NO3                                                                ; 1.20003E-12*exp ( -330.0/t )
CRESOL + OH → 0*PHENO2 + 0.73*HO2 + 0*PHENO                                             ; 4.70011E-11
DICARBO2 + HO2 → 0*OH + 0*HO2 + 0*CH3COCHO + 0*CO + 0*CH3O2                             ; 4.3001E-13*exp ( 1040.0/t )
EO2 + HO2 → EOOH                                                                        ; 7.50018E-13*exp ( 700.0/t )
F + H2 → HF + H                                                                         ; 1.40003E-10*exp ( -500.0/t )
GLYOXAL + OH → HO2 + CO + CO2                                                           ; 1.15003E-11
H + HO2 → 2*OH                                                                          ; 7.20017E-11
H + HO2 → H2 + O2                                                                       ; 6.90016E-12
H + HO2 → H2O + O                                                                       ; 1.60004E-12
H + O3 → OH + O2                                                                        ; 1.40003E-10*exp ( -470.0/t )
HCL + OH → H2O + CL                                                                     ; 1.80004E-12*exp ( -250.0/t )
HCOOH + OH → HO2 + CO2 + H2O                                                            ; 4.00009E-13
HNO3 + OH → NO3 + H2O                                                                   ; ko=3.91448E-16*exp ( 1335.0/t ), ki=2.70006E-17*exp ( 2199.0/t ), f=1.00
HNO3 + OH → NO3 + H2O                                                                   ; 2.40006E-14*exp ( 460.0/t )
HO2NO2 + OH → H2O + NO2 + O2                                                            ; 4.50011E-13*exp ( 610.0/t )
HOCH2OO + HO2 → HCOOH                                                                   ; 7.50018E-13*exp ( 700.0/t )
HONITR + OH → ONITR + HO2                                                               ; 2.00005E-12
ISOP + OH → 0.6*ISOPAO2 + 0*ISOPBO2                                                     ; 2.54006E-11*exp ( 410.0/t )
ISOP + OH → ISOP + OH + ISOPO2VBS                                                       ; 2.54006E-11*exp ( 410.0/t )
ISOPAO2 + HO2 → ISOPOOH                                                                 ; 8.00019E-13*exp ( 700.0/t )
ISOPBO2 + HO2 → ISOPOOH                                                                 ; 8.00019E-13*exp ( 700.0/t )
ISOPNITB + OH → 0*HYAC + 0*GLYALD + 0*NOA + HO2 + 0*HONITR                              ; 4.00009E-11
ISOPNO3 + HO2 → ISOPNOOH                                                                ; 8.00019E-13*exp ( 700.0/t )
ISOPNOOH + OH → NOA + HO2                                                               ; 4.00009E-11
ISOPO2VBS + HO2 → HO2 + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                 ; 2.12005E-13*exp ( 1300.0/t )
IVOC + OH → OH + IVOCO2VBS                                                              ; 1.34003E-11
IVOCO2VBS + HO2 → HO2 + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                 ; 7.50018E-13*exp ( 700.0/t )
MACRO2 + HO2 → MACROOH                                                                  ; 8.00019E-13*exp ( 700.0/t )
MACROOH + OH → 0*MCO3 + 0*MACRO2 + 0*OH + 0*HO2                                         ; 2.30005E-11*exp ( 200.0/t )
MALO2 + HO2 → 0*GLYOXAL + 0*HO2 + 0*CO                                                  ; 4.3001E-13*exp ( 1040.0/t )
MCO3 + HO2 → 0*O3 + 0*CH3COOH + 0*CH3COOOH + 0*OH + 0*CO2 + 0*CH2O + 0*CH3CO3           ; 4.3001E-13*exp ( 1040.0/t )
MDIALO2 + HO2 → 0*OH + 0*HO2 + 0*CH3COCHO + 0*CO + 0*CH3O2 + 0*GLYOXAL                  ; 4.3001E-13*exp ( 1040.0/t )
MEK + OH → MEKO2                                                                        ; 2.30005E-12*exp ( -170.0/t )
MEKO2 + HO2 → 0.8*MEKOOH + 0*OH + 0*CH3CHO + 0*CH3CO3                                   ; 7.50018E-13*exp ( 700.0/t )
MEKOOH + OH → MEKO2                                                                     ; 3.80009E-12*exp ( 200.0/t )
MTERPO2VBS + HO2 → HO2 + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                ; 2.60006E-13*exp ( 1300.0/t )
NH3 + OH → H2O                                                                          ; 1.70004E-12*exp ( -710.0/t )
NO + HO2 → NO2 + OH                                                                     ; 3.44008E-12*exp ( 260.0/t )
NO2 + HO2 → HO2NO2                                                                      ; ko=1.14423E-13(300.0/T)**3.4, ki=4.00009E-12(300.0/T)**0.3, f=0.60
NO3 + HO2 → OH + NO2 + O2                                                               ; 3.50008E-12
NO3 + OH → HO2 + NO2                                                                    ; 2.20005E-11
NTERPO2 + HO2 → NTERPOOH                                                                ; 7.50018E-13*exp ( 700.0/t )
NTERPOOH + OH → NTERPO2                                                                 ; 2.00005E-11
O + H2 → OH + H                                                                         ; 1.60004E-11*exp ( -4570.0/t )
O + H2O2 → OH + HO2                                                                     ; 1.40003E-12*exp ( -2000.0/t )
O + HO2 → OH + O2                                                                       ; 3.00007E-11*exp ( 200.0/t )
O2 + H → HO2                                                                            ; ko=3.19181E-14(300.0/T)**1.8, ki=9.50022E-11(300.0/T)**-0.4, f=0.60
O3 + HO2 → OH + 2*O2                                                                    ; 1.00002E-14*exp ( -490.0/t )
OH + ALKNIT → 0*CH2O + 0.8*CH3CHO + 0.8*CH3COCH3 + NO2                                  ; 1.60004E-12
OH + ALKOOH → ALKO2                                                                     ; 3.80009E-12*exp ( 200.0/t )
OH + BRO → BR + HO2                                                                     ; 1.70004E-11*exp ( 250.0/t )
OH + BZOOH → BZOO                                                                       ; 3.80009E-12*exp ( 200.0/t )
OH + C3H6 → PO2                                                                         ; ko=4.81783E-09(300.0/T)**3.5, ki=3.00007E-11, f=0.50
OH + C3H8 → C3H7O2 + H2O                                                                ; 9.19021E-12*exp ( -630.0/t )
OH + C6H5OOH → C6H5O2                                                                   ; 3.80009E-12*exp ( 200.0/t )
OH + CH2O → CO + H2O + H                                                                ; 5.50013E-12*exp ( 125.0/t )
OH + CH3CHO → CH3CO3 + H2O                                                              ; 4.63011E-12*exp ( 350.0/t )
OH + CH3COCHO → CH3CO3 + CO + H2O                                                       ; 8.4002E-13*exp ( 830.0/t )
OH + CH3COOH → CH3O2 + CO2 + H2O                                                        ; 3.15007E-14*exp ( 920.0/t )
OH + CH3OOH → 0.7*CH3O2 + 0*OH + 0*CH2O + H2O                                           ; 3.80009E-12*exp ( 200.0/t )
OH + CLO → CL + HO2                                                                     ; 7.40017E-12*exp ( 270.0/t )
OH + CLO → HCL + O2                                                                     ; 6.00014E-13*exp ( 230.0/t )
OH + DMS → SO2                                                                          ; 1.10003E-11*exp ( -280.0/t )
OH + GLYALD → HO2 + 0*GLYOXAL + 0.8*CH2O + 0.8*CO2                                      ; 1.00002E-11
OH + H2 → H2O + H                                                                       ; 2.80007E-12*exp ( -1800.0/t )
OH + H2O2 → H2O + HO2                                                                   ; 1.80004E-12
OH + HBR → BR + H2O                                                                     ; 5.50013E-12*exp ( 200.0/t )
OH + HCFC141B → CL + COFCL                                                              ; 1.25003E-12*exp ( -1600.0/t )
OH + HCFC142B → CL + COF2                                                               ; 1.30003E-12*exp ( -1770.0/t )
OH + HCFC22 → H2O + CL + COF2                                                           ; 9.20022E-13*exp ( -1560.0/t )
OH + HCN → HO2                                                                          ; ko=3.67359E-15(300.0/T)**1.5, ki=9.80023E-15(300.0/T)**-4.6, f=0.80
OH + HO2 → H2O + O2                                                                     ; 4.80011E-11*exp ( 250.0/t )
OH + HOCL → H2O + CLO                                                                   ; 3.00007E-12*exp ( -500.0/t )
OH + HPALD → XO2                                                                        ; 1.86004E-11*exp ( 175.0/t )
OH + HYAC → CH3COCHO + HO2                                                              ; 3.00007E-12
OH + HYDRALD → XO2                                                                      ; 1.86004E-11*exp ( 175.0/t )
OH + IEPOX → XO2                                                                        ; 1.30003E-11
OH + ISOPNITA → 0.7*HYAC + 0.7*GLYALD + 0.7*NO2 + 0*CH2O + 0*HONITR + 0*HO2             ; 4.00009E-11
OH + ISOPOOH → 0*XO2 + 0.6*IEPOX + 0.6*OH                                               ; 1.52004E-11*exp ( 200.0/t )
OH + MACR → 0*MACRO2 + 0*H2O + 0*MCO3                                                   ; 9.60022E-12*exp ( 360.0/t )
OH + MPAN → 0*HYAC + 0*NO3 + 0*CH2O + 0*HO2 + 0*CO2                                     ; ko=4.81783E-09(300.0/T)**3.5, ki=3.00007E-11, f=0.50
OH + MTERP → MTERP + OH + MTERPO2VBS                                                    ; 1.20003E-11*exp ( 440.0/t )
OH + MTERP → TERPO2                                                                     ; 1.20003E-11*exp ( 440.0/t )
OH + MVK → MACRO2                                                                       ; 4.1301E-12*exp ( 452.0/t )
OH + N → NO + H                                                                         ; 5.00012E-11
OH + NC4CH2OH → GLYALD + NOA + HO2                                                      ; 7.00016E-11
OH + NC4CHO → GLYOXAL + NOA + HO2                                                       ; 1.00002E-10
OH + NO2 → HNO3                                                                         ; ko=1.08401E-12(300.0/T)**3.0, ki=2.80007E-11, f=0.60
OH + NOA → NO2 + CH3COCHO                                                               ; 6.70016E-13
OH + O → H + O2                                                                         ; 1.80004E-11*exp ( 180.0/t )
OH + O3 → HO2 + O2                                                                      ; 1.70004E-12*exp ( -940.0/t )
